# sheet: Sheet1
Food Group Code ,NDB,Yield Description,Preparation Method1, Cooking Yield %,n,SD,Yield Minimum %,Yield Maximum %,Moisture Gain/ Loss %,Fat   Gain/ Loss %,Release Year2
10.0,10974.0,"Pork, ground, crumbles, high fat (>27%)",Pan-browned,66.0,4.0,10.572,56.0,81.0,-27.88,-6.5,2009.0
10.0,10976.0,"Pork, ground, crumbles, low fat (<10%)",Pan-browned,68.0,4.0,5.495,61.0,74.0,-31.73,-0.2,2009.0
10.0,10975.0,"Pork, ground, crumbles, medium fat (10%-27%)",Pan-browned,67.0,4.0,5.694,62.0,75.0,-30.33,-1.8,2009.0
10.0,10977.0,"Pork, ground, patty, high fat (>27%)",Broiled or Grilled,69.0,4.0,3.088,65.0,72.0,-25.28,-6.6,2009.0
10.0,10979.0,"Pork, ground, patty, low fat (<10%)",Broiled or Grilled,68.0,4.0,2.504,64.0,70.0,-32.66,0.2,2009.0
10.0,10978.0,"Pork, ground, patty, medium fat (10%-27%)",Broiled or Grilled,68.0,4.0,1.571,66.0,69.0,-26.69,-1.9,2009.0
7.0,7958.0,"Turkey sausage, fresh",Broiled or Grilled,77.0,1.0,n/a,n/a,n/a,-20.12,-0.01,2002.0
5.0,5745.0,"Turkey, from whole, enhanced, back, meat and skin",Roasted,76.0,1.0,n/a,n/a,n/a,-3.63,1.65,2013.0
5.0,5701.0,"Turkey, from whole, enhanced, dark meat, meat and skin",Roasted,74.0,1.0,n/a,n/a,n/a,-11.93,-1.35,2013.0
5.0,5184.0,"Turkey, from whole, non-enhanced, dark meat, meat and skin",Roasted,69.0,1.0,n/a,n/a,n/a,-23.07,-0.92,2013.0
5.0,5172.0,"Turkey, all, giblets","Poached, Simmered or Stewed",64.0,1.0,n/a,62.0,66.0,n/a,n/a,1975.0
5.0,5174.0,"Turkey, gizzard, all classes","Poached, Simmered or Stewed",85.0,1.0,n/a,n/a,n/a,-14.28,-1.29,2003.0
5.0,5176.0,"Turkey, heart, all classes","Poached, Simmered or Stewed",76.0,1.0,n/a,n/a,n/a,-21.73,-1.25,2003.0
5.0,5178.0,"Turkey, liver, all classes","Poached, Simmered or Stewed",83.0,1.0,n/a,n/a,n/a,-15.19,0.63,2003.0
5.0,5731.0,"Turkey, retail parts, enhanced, breast, meat and skin",Roasted,68.0,1.0,n/a,n/a,n/a,-16.96,-1.93,2013.0
5.0,5733.0,"Turkey, retail parts, non-enhanced, breast, meat and skin",Roasted,72.0,1.0,n/a,n/a,n/a,-13.77,-2.28,2013.0
5.0,5737.0,"Turkey, retail parts, non-enhanced, drumstick, meat and skin",Roasted,72.0,1.0,n/a,n/a,n/a,-12.97,0.47,2013.0
5.0,5743.0,"Turkey, retail parts, non-enhanced, thigh, meat and skin",Roasted,83.0,1.0,n/a,n/a,n/a,-10.86,-0.67,2013.0
5.0,5735.0,"Turkey, retail parts, non-enhanced, wing, meat and skin",Roasted,71.0,1.0,n/a,n/a,n/a,-9.57,-1.49,2013.0
