retention_code,food_group_code,retention_description,nutrient_code,nutrient_description,retention_percent,add_mod_date
2154,01,"MILK,REHEATED",312,"Copper, Cu",100,09/1975
2154,01,"MILK,REHEATED",401,"Vitamin C, total ascorbic acid",95,09/1975
2154,01,"MILK,REHEATED",404,Thiamin,95,09/1975
2154,01,"MILK,REHEATED",405,Riboflavin,100,09/1975
2154,01,"MILK,REHEATED",406,Niacin,100,09/1975
2154,01,"MILK,REHEATED",415,Vitamin B-6,95,09/1975
2154,01,"MILK,REHEATED",417,"Folate, total",95,09/1975
2154,01,"MILK,REHEATED",431,Folic acid,95,09/1975
2154,01,"MILK,REHEATED",432,"Folate, food",95,09/1975
2154,01,"MILK,REHEATED",421,"Choline, total",95,09/1975
2154,01,"MILK,REHEATED",418,Vitamin B-12,95,09/1975
2154,01,"MILK,REHEATED",318,"Vitamin A, IU",100,09/1975
2154,01,"MILK,REHEATED",392,"Vitamin A, RE",100,09/1975
2154,01,"MILK,REHEATED",221,"Alcohol, ethyl",100,09/1975
2154,01,"MILK,REHEATED",321,"Carotene, beta",100,09/1975
2154,01,"MILK,REHEATED",322,"Carotene, alpha",100,09/1975
2154,01,"MILK,REHEATED",334,"Cryptoxanthin, beta",100,09/1975
2154,01,"MILK,REHEATED",337,Lycopene,100,09/1975
2154,01,"MILK,REHEATED",338,Lutein + zeaxanthin,100,09/1975
0801,05,"CHICKEN,BROILED",301,"Calcium, Ca",95,09/1975
0801,05,"CHICKEN,BROILED",303,"Iron, Fe",90,09/1975
0801,05,"CHICKEN,BROILED",304,"Magnesium, Mg",75,09/1975
0801,05,"CHICKEN,BROILED",305,"Phosphorus, P",80,09/1975
0801,05,"CHICKEN,BROILED",306,"Potassium, K",80,09/1975
0801,05,"CHICKEN,BROILED",307,"Sodium, Na",80,09/1975
0801,05,"CHICKEN,BROILED",309,"Zinc, Zn",100,09/1975
0801,05,"CHICKEN,BROILED",312,"Copper, Cu",95,09/1975
0801,05,"CHICKEN,BROILED",401,"Vitamin C, total ascorbic acid",80,09/1975
0801,05,"CHICKEN,BROILED",404,Thiamin,70,09/1975
0801,05,"CHICKEN,BROILED",405,Riboflavin,90,09/1975
0801,05,"CHICKEN,BROILED",406,Niacin,80,09/1975
0801,05,"CHICKEN,BROILED",415,Vitamin B-6,80,09/1975
0801,05,"CHICKEN,BROILED",417,"Folate, total",60,09/1975
0801,05,"CHICKEN,BROILED",431,Folic acid,60,09/1975
0801,05,"CHICKEN,BROILED",432,"Folate, food",60,09/1975
0801,05,"CHICKEN,BROILED",421,"Choline, total",70,09/1975
0801,05,"CHICKEN,BROILED",418,Vitamin B-12,65,09/1975
0801,05,"CHICKEN,BROILED",318,"Vitamin A, IU",75,09/1975
0801,05,"CHICKEN,BROILED",392,"Vitamin A, RE",75,09/1975
0801,05,"CHICKEN,BROILED",221,"Alcohol, ethyl",100,09/1975
0801,05,"CHICKEN,BROILED",321,"Carotene, beta",75,09/1975
